Comment: ACERO: frecuencia: 34.450000E0
 Hz
Time (s),Voltage (V)
1.335919999999999996e+00,1.120698899725598885e+00
1.335960000000000036e+00,1.121356824985458411e+00
1.336000000000000076e+00,1.121027862355446825e+00
1.336039999999999894e+00,1.120369937095915258e+00
1.336079999999999934e+00,1.120863381040502427e+00
1.336119999999999974e+00,1.119712011837039167e+00
1.336160000000000014e+00,1.119547530522422285e+00
1.336200000000000054e+00,1.119054086578817664e+00
1.336240000000000094e+00,1.118067198692712205e+00
1.336279999999999912e+00,1.118396161321250526e+00
1.336319999999999952e+00,1.118231680006960937e+00
1.336359999999999992e+00,1.117244792122080943e+00
1.336400000000000032e+00,1.117902717378504107e+00
1.336440000000000072e+00,1.117244792122080943e+00
1.336479999999999890e+00,1.116257904238670662e+00
1.336519999999999930e+00,1.112968277971228437e+00
1.336559999999999970e+00,1.112145871406909681e+00
1.336600000000000010e+00,1.112803796658283551e+00
1.336640000000000050e+00,1.111487946156185291e+00
1.336680000000000090e+00,1.110994502218568103e+00
1.336719999999999908e+00,1.110830020906109938e+00
1.336759999999999948e+00,1.110336576968979472e+00
1.336799999999999988e+00,1.109349689095811664e+00
1.336840000000000028e+00,1.108691763847842626e+00
1.336880000000000068e+00,1.108033838600521070e+00
1.336920000000000108e+00,1.107540394665454064e+00
1.336959999999999926e+00,1.106717988107817296e+00
1.336999999999999966e+00,1.105895581551189277e+00
1.337040000000000006e+00,1.105895581551189277e+00
1.337080000000000046e+00,1.104908693684566456e+00
1.337120000000000086e+00,1.104744212373603762e+00
1.337159999999999904e+00,1.103757324508672699e+00
1.337199999999999944e+00,1.103921805819394031e+00
1.337239999999999984e+00,1.102605955334750476e+00
1.337280000000000024e+00,1.101948030093393260e+00
1.337320000000000064e+00,1.101290104852678420e+00
1.337360000000000104e+00,1.100796660922563897e+00
1.337399999999999922e+00,1.100796660922563897e+00
1.337439999999999962e+00,1.099480810444022127e+00
1.337480000000000002e+00,1.099316329134384818e+00
1.337520000000000042e+00,1.101454586162797122e+00
1.337560000000000082e+00,1.100138735682972380e+00
1.337599999999999900e+00,1.099316329134384818e+00
1.337639999999999940e+00,1.098329441277400953e+00
1.337679999999999980e+00,1.098164959968043641e+00
1.337720000000000020e+00,1.097013590803662009e+00
1.337760000000000060e+00,1.096355665567751547e+00
1.337800000000000100e+00,1.095533259023761419e+00
1.337839999999999918e+00,1.095368777715083120e+00
1.337879999999999958e+00,1.093559483322250614e+00
1.337919999999999998e+00,1.093888445938770992e+00
1.337960000000000038e+00,1.091914670242036145e+00
1.338000000000000078e+00,1.092243632857761160e+00
1.338039999999999896e+00,1.091256745011063067e+00
1.338079999999999936e+00,1.090269857165794054e+00
1.338119999999999976e+00,1.090434338473239562e+00
1.338160000000000016e+00,1.089447450629160263e+00
1.338200000000000056e+00,1.088296081479536381e+00
1.338240000000000096e+00,1.087144712331851393e+00
1.338279999999999914e+00,1.086651268412007765e+00
1.338319999999999954e+00,1.085993343186102633e+00
1.338359999999999994e+00,1.085335417960828774e+00
1.338400000000000034e+00,1.084348530124101151e+00
1.338440000000000074e+00,1.083526123594578117e+00
1.338479999999999892e+00,1.079085128352134548e+00
1.338519999999999932e+00,1.078427203133463630e+00
1.338559999999999972e+00,1.078427203133463630e+00
1.338600000000000012e+00,1.077275834002295873e+00
1.338640000000000052e+00,1.077275834002295873e+00
1.338680000000000092e+00,1.076288946177105244e+00
1.338719999999999910e+00,1.075795502265037396e+00
1.338759999999999950e+00,1.075302058353320378e+00
1.338799999999999990e+00,1.073986207923790959e+00
1.338840000000000030e+00,1.073492764013360468e+00
1.338880000000000070e+00,1.072999320103279919e+00
1.338920000000000110e+00,1.071847950981120290e+00
1.338959999999999928e+00,1.071190025769312770e+00
1.338999999999999968e+00,1.070532100558126309e+00
1.339040000000000008e+00,1.069709694045016146e+00
1.339080000000000048e+00,1.069216250137615232e+00
1.339120000000000088e+00,1.067900399719583504e+00
1.339159999999999906e+00,1.067242474511496342e+00
1.339199999999999946e+00,1.066749030605836923e+00
1.339239999999999986e+00,1.065926624097176978e+00
1.339280000000000026e+00,1.064610773685327860e+00
1.339320000000000066e+00,1.063952848480328672e+00
1.339360000000000106e+00,1.063130441974945883e+00
1.339399999999999924e+00,1.062801479373062241e+00
1.339439999999999964e+00,1.061650110267680747e+00
1.339480000000000004e+00,1.063623885878060005e+00
1.339520000000000044e+00,1.063130441974945883e+00
1.339560000000000084e+00,1.061485628967065331e+00
1.339599999999999902e+00,1.060827703764989138e+00
1.339639999999999942e+00,1.059018409462443744e+00
1.339679999999999982e+00,1.058524965562554376e+00
1.339720000000000022e+00,1.058689446862479233e+00
1.339760000000000062e+00,1.057373596464151522e+00
1.339800000000000102e+00,1.055564302170445279e+00
1.339839999999999920e+00,1.054412933076854575e+00
1.339879999999999960e+00,1.053426045283834211e+00
1.339920000000000000e+00,1.052768120089248471e+00
1.339960000000000040e+00,1.051452269701901976e+00
1.340000000000000080e+00,1.050629863211044901e+00
1.340039999999999898e+00,1.050465381912987217e+00
1.340079999999999938e+00,1.049314012827645692e+00
1.340119999999999978e+00,1.048327125041687680e+00
1.340160000000000018e+00,1.047175755959791177e+00
1.340200000000000058e+00,1.046353349473856165e+00
1.340240000000000098e+00,1.045037499098322886e+00
1.340279999999999916e+00,1.044379573911460968e+00
1.340319999999999956e+00,1.042899242243225055e+00
1.340359999999999996e+00,1.042076835762188125e+00
1.340400000000000036e+00,1.041583391874016717e+00
1.340440000000000076e+00,1.037471359485712119e+00
1.340479999999999894e+00,1.037306878190666470e+00
1.340519999999999934e+00,1.035497583947628586e+00
1.340559999999999974e+00,1.035004140063946920e+00
1.340600000000000014e+00,1.034510696180600764e+00
