Distance_(mm),Gray_Value
9.4256,93.316
9.4431,96.346
9.4606,97.522
9.4781,96.795
9.4956,96.104
9.5131,94.835
9.5307,93.673
9.5482,94.480
9.5657,95.107
9.5832,99.175
9.6007,100.459
9.6183,99.605
9.6358,98.188
9.6533,97.426
9.6708,98.526
9.6883,100.515
9.7059,102.579
9.7234,103.756
9.7409,102.986
9.7584,101.579
9.7759,98.250
9.7935,96.678
9.8110,95.728
9.8285,95.639
9.8460,94.391
9.8635,91.749
9.8811,88.719
9.8986,85.883
9.9161,83.240
9.9336,81.826
9.9511,81.437
9.9687,81.461
9.9862,80.957
10.0037,80.204
10.0212,80.102
10.0387,80.376
10.0563,79.931
10.0738,78.774
10.0913,76.933
10.1088,75.077
10.1263,73.977
10.1439,73.544
10.1614,73.279
10.1789,73.048
10.1964,72.341
10.2139,70.387
10.2315,67.833
10.2490,65.328
10.2665,62.670
10.2840,61.222
10.3015,60.228
10.3191,59.798
10.3366,60.396
10.3541,60.295
10.3716,59.837
10.3891,59.373
10.4066,58.727
10.4242,57.692
10.4417,56.247
10.4592,56.184
10.4767,58.005
10.4942,60.114
10.5118,59.754
10.5293,59.967
10.5468,59.975
10.5643,61.386
10.5818,63.701
10.5994,66.185
10.6169,70.442
10.6344,75.569
10.6519,79.581
10.6694,82.466
10.6870,86.528
10.7045,88.990
10.7220,88.914
10.7395,88.491
10.7570,86.532
10.7746,86.483
10.7921,89.039
10.8096,92.160
10.8271,93.419
10.8446,96.044
10.8622,96.027
10.8797,93.868
10.8972,92.958
10.9147,95.312
10.9322,94.782
10.9498,94.486
10.9673,95.557
10.9848,97.267
11.0023,98.264
11.0198,100.231
11.0374,101.998
11.0549,101.970
11.0724,103.452
11.0899,103.924
11.1074,104.539
11.1250,106.464
11.1425,107.915
11.1600,108.260
11.1775,110.341
11.1950,113.503
11.2126,113.464
11.2301,112.392
11.2476,107.384
11.2651,103.269
11.2826,100.126
11.3001,98.402
11.3177,97.110
11.3352,97.292
11.3527,96.916
11.3702,95.678
11.3877,94.169
11.4053,92.146
11.4228,89.944
11.4403,87.906
11.4578,85.265
11.4753,82.287
11.4929,79.487
11.5104,78.507
11.5279,77.961
11.5454,77.166
11.5629,75.846
11.5805,74.814
11.5980,74.724
11.6155,74.965
11.6330,73.724
11.6505,72.574
11.6681,71.428
11.6856,69.859
11.7031,67.440
11.7206,65.308
11.7381,64.232
11.7557,64.181
11.7732,64.621
11.7907,64.774
11.8082,65.777
11.8257,66.170
11.8433,64.634
11.8608,63.612
11.8783,62.014
11.8958,61.743
11.9133,62.613
11.9309,62.802
11.9484,64.555
11.9659,68.279
11.9834,69.621
12.0009,70.413
12.0185,73.386
12.0360,77.182
12.0535,80.067
