Distance_(mm),Gray_Value
15.3997,94.563
15.4173,94.317
15.4348,93.668
15.4523,95.257
15.4698,94.952
15.4873,90.122
15.5049,85.535
15.5224,83.116
15.5399,84.336
15.5574,86.232
15.5749,85.547
15.5925,82.426
15.6100,78.599
15.6275,76.845
15.6450,77.005
15.6625,75.789
15.6801,71.549
15.6976,69.434
15.7151,66.560
15.7326,63.433
15.7501,60.434
15.7676,57.285
15.7852,56.935
15.8027,59.297
15.8202,60.103
15.8377,57.381
15.8552,53.404
15.8728,50.453
15.8903,48.492
15.9078,48.610
15.9253,49.986
15.9428,51.686
15.9604,52.470
15.9779,53.061
15.9954,52.976
16.0129,53.536
16.0304,55.148
16.0480,56.462
16.0655,58.864
16.0830,59.118
16.1005,60.696
16.1180,60.965
16.1356,61.580
16.1531,64.174
16.1706,65.493
16.1881,67.148
16.2056,68.677
16.2232,72.151
16.2407,74.838
16.2582,73.892
16.2757,74.186
16.2932,75.866
16.3108,79.385
16.3283,84.124
16.3458,90.299
16.3633,94.093
16.3808,98.619
16.3984,104.551
16.4159,108.889
16.4334,110.542
16.4509,111.804
16.4684,111.327
16.4860,110.836
16.5035,110.105
16.5210,108.801
16.5385,110.010
16.5560,112.313
16.5736,115.200
16.5911,119.483
16.6086,121.308
16.6261,122.995
16.6436,124.027
16.6611,124.564
16.6787,125.707
16.6962,127.181
16.7137,128.328
16.7312,130.294
16.7487,131.642
16.7663,131.792
16.7838,131.590
16.8013,131.795
16.8188,132.032
16.8363,131.501
16.8539,130.163
16.8714,130.369
16.8889,131.866
16.9064,133.384
16.9239,135.016
16.9415,136.955
16.9590,135.801
16.9765,131.604
16.9940,127.781
17.0115,127.062
17.0291,128.029
17.0466,129.459
17.0641,133.370
17.0816,136.651
17.0991,136.571
17.1167,133.754
17.1342,130.659
17.1517,129.574
17.1692,133.334
17.1867,139.263
17.2043,140.731
17.2218,137.623
17.2393,132.832
17.2568,131.009
17.2743,132.587
17.2919,135.894
17.3094,138.056
17.3269,135.856
17.3444,130.495
17.3619,126.998
17.3795,125.071
17.3970,123.488
17.4145,123.546
17.4320,125.953
